variant,fbmplut2056,eufdeperfca2108,abs583,lub1314,pbnlat15467,pnkxxiiif204,fsuincquart706a,mbsclm19414,lol490,rsa6519,nbl1183,pbm305,pbnlat14435,mbelat693,eufdeperfca2079,lblcotrollxiv12,pnkiiie5,fub36a,khaw247,lbm445,won363,lblroy14bix,mbsclm16223,CCC83,bsbtheollatfol64,dclbii33,culdd116,pbnlat5101,swltheolphil2122,vbb342,penmasson71,gflchaa16,lblhar658,pfllewe202,mrmmik6365,kac696,lol390,won364,CCC503,mbm89,dul190,vbapallat1723,fbmplut1511,lbladd14819,whafol70,avr166,pbnlat10431,chltyp216,bwaw796,pfllewe72,mbscgm564,mbsclm8201,vbapallat963,ctcb155,won1548,abs128,nblmar26,mjrgast2037,tburps75iii,won378,fbrricc236,gflchaa4,aux145,mbsclm314,akbwettf9,mbsclm2660,ctcb154,no signature yet,mbsclm14969,pbnlat15637,aux146,mlm4989,vbavatlat1972,mbsclm28173,cmb183,bas4,lubapel1,pbnlat15254,lbladd606281,cma1973,pbnlat297,ccc29,lblcotvitciii,bun762,hubsalix40,pba1234,vbavatlat3782,CCC437,fsugermquart13,whaguelf360helm,culdd812,vbavatlat3783
frli ecclesia,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
aditu,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
cherubim,0,0,-,0,0,0,-,0,-,0,0,0,-,0,0,0,0,0,-,-,0,-,0,-,0,0,0,-,0,-,1,0,-,-,0,-,1,0,0,0,0,-,0,0,0,-,0,0,0,-,-,-,0,0,0,0,1,0,-,0,0,-,0,-,1,0,0,-,-,0,0,0,0,0,1,0,0,0,0,0,0,-,-,0,0,-,0,-,0,0,0,-
cherubin,1,1,-,1,1,1,-,1,-,1,1,1,-,1,1,1,1,1,-,-,1,-,1,-,1,1,1,-,1,-,0,1,-,-,1,-,0,1,1,1,1,-,1,1,1,-,1,1,1,-,-,-,1,1,1,1,0,1,-,1,1,-,1,-,0,1,1,-,-,1,1,1,1,1,0,1,1,1,1,1,1,-,-,1,1,-,1,-,1,1,1,-
et,1,1,1,1,1,0,-,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,1,1,1,1,1,-,1,1,0,1,1,1,-,1,1,1,0,1,1,1,1,1
cum,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,0,0,1,0,0,0,-,0,0,0,1,0,0,0,0,0
a,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
flam meo,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,-,0,0,1,-,0,0,0,0,0,0,0,0,0
flammimeo,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0
flammeo,1,1,0,1,1,0,-,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,-,1,-,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,-,-,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,-,-,1,1,1,1,1,1,1,1,1,-,1,1,0,-,1,1,1,1,1,1,1,1,1
flameo,0,0,1,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0
gla dio,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
gladi o,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
gladio,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
gladio,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
atque,0,0,0,0,0,0,-,0,0,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,-,0,-,0,0,-,0,0,-,0,0,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-
post,1,1,1,1,1,1,-,1,1,-,1,1,1,-,-,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,-,-,1,-,1,1,-,1,1,-,1,1,1,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-
paradisum,0,0,0,0,0,0,-,0,0,-,0,0,0,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-,0,0,-,0,0,-,0,0,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-
collocato,0,0,0,0,0,0,-,0,0,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-,0,0,-,0,0,-,0,0,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,0,-,-,-,-,-
collocatis,0,0,0,0,0,0,-,0,0,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-,0,0,-,0,0,-,0,0,0,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,1,-,-,-,-,-
flammeo,0,0,0,0,0,0,-,0,0,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,-,0,-,0,0,-,0,0,-,0,0,0,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,0,0,-,-,-,-,-
postquam,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
increpatione,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
et,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
et,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
uersatili,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
post,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,1,-,-,-,-,-,-,1,1,1,-,-,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,-,-,1,1,1,1,1,1,1,-,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1
increpatio nem proiectus,0,0,0,0,0,0,-,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,0,0,0,0,-,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0
increpationem,1,1,1,1,1,1,-,1,1,1,1,-,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,0,0,0,1,0,1,1,0,1,1,-,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-,-,1,1,1,1,1,0,1,-,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1
increpatonem,0,0,0,0,0,0,-,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,-,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0
in crepationem,0,0,0,0,0,0,-,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,-,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0
increpacionem,0,0,0,0,0,0,-,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,1,0,-,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0
incre pationem,0,0,0,0,0,0,-,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,1,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0
de paradiso,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
ab iectus,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
eiectusde,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
accepit,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-
abiecta,0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
accepio,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-
abiectis,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
eiectus,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
adbiectus,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
abiectus,1,1,1,1,1,-,-,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,-,-,1,1,1,1,1,1,1,1,1,1,-,1,1,1,0,-,-,1,1,-,1,1,-,1,1,1,1,1,1,-,1,1,-,-,1,-,1,1,1,-,1,-,1,-,1,1,1,-,1,1,0,0,1,1,1,1,1
in,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,1,-,-,0,0,-,0,0,-,0,0,0,0,0,0,-,0,0,-,-,0,-,0,0,0,-,0,-,0,-,0,0,0,-,0,0,1,1,0,0,0,0,0
de,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
maledictos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-
maledicte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
maledicta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-
ut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
de,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
terra,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
maledictus,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
malidicta,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
male dicta,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
maledicta,1,1,1,1,1,0,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,0,1,1,1,1,1,1,1,0,-,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
maladic ta,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
ma ledicta,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
et,-,-,0,0,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,0,0,0,-,-,-,-,-,-,0,-,1,0,-,-,-,-,-
in,-,-,1,1,-,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,1,1,1,-,-,-,-,-,-,1,-,0,0,-,-,-,-,-
insudorem,-,-,0,0,-,0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,1,-,0,0,0,-,-,-,-,-,-,0,-,0,0,-,-,-,-,-
einas,-,-,0,0,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,0,0,0,-,-,-,-,-,-,0,-,0,0,-,-,-,-,-
ei,-,-,0,0,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,0,0,0,-,-,-,-,-,-,0,-,0,1,-,-,-,-,-
et,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1
terram maledictam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0
sudore,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,1,-,0,0,-,-,-,-,1
tribulos,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,-,1,1,-,-,-,-,0
vultus cui,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
germmante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
germinante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-
germaniam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-
insudore,1,1,1,-,1,-,-,1,1,1,1,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,-,-,1,1,1,-,1,-,-,-,1,1,1,1,1,-,-,1,1,1,1,1,1,1,-
